1 0 3674
2 3674 2002
3 5676 3217
4 8893 2860
5 11753 7553
6 19306 417
7 19723 519
8 20242 11213
9 31455 4483
10 35938 3685
11 39623 9003
12 48626 3408
13 52034 2053
14 54087 2003
15 56090 7122
16 63212 6444
17 69656 3689
18 73345 2245
19 75590 14914
20 90504 6407
21 96911 1328
22 98239 1978
23 100217 2939
24 103156 2587
25 105743 2137
26 107880 1592
27 109472 747
28 110219 1392
29 111611 739
30 112350 389
31 112739 3986
32 116725 3923
33 120648 3057
34 123705 4161
35 127866 7580
36 135446 5425
37 140871 1364
39 142235 1174
40 143409 933
41 144342 1862
42 146204 2421
43 148625 5486
44 154111 2510
45 156621 8080
46 164701 2466
47 167167 919
48 168086 849
49 168935 1641
50 170576 2241
51 172817 7276
52 180093 1640
53 181733 4761
54 186494 2455
55 188949 3635
56 192584 2687
57 195271 6944
58 202215 2306
59 204521 3018
60 207539 4595
61 212134 2526
62 214660 2885
63 217545 1910
64 219455 1278
65 220733 4733
66 225466 1638
67 227104 1012
68 228116 1604
69 229720 1804
70 231524 4606
71 236130 1677
72 237807 2694
73 240501 9326
74 249827 1882
75 251709 2632
76 254341 9068
77 263409 3549
78 266958 6145
79 273103 3372
80 276475 2958
81 279433 7865
82 287298 1738
83 289036 2205
84 291241 1651
85 292892 967
86 293859 2391
87 296250 1682
88 297932 1783
89 299715 15029
90 314744 7369
91 322113 3142
92 325255 1681
93 326936 1415
94 328351 7677
95 336028 1995
96 338023 2118
97 340141 1788
98 341929 1688
99 343617 2081
100 345698 1163
101 346861 2812
102 349673 2700
103 352373 1248
104 353621 1103
105 354724 859
106 355583 979
107 356562 994
108 357556 2357
109 359913 1740
110 361653 1149
111 362802 901
112 363703 1132
113 364835 1355
114 366190 997
115 367187 1947
116 369134 2620
117 371754 1272
118 373026 2739
119 375765 2815
120 378580 2995
121 381575 1059
122 382634 3615
123 386249 2536
124 388785 4299
125 393084 3335
126 396419 5885
127 402304 3304
128 405608 920
129 406528 2326
130 408854 4615
131 413469 2311
132 415780 799
133 416579 5809
134 422388 1232
135 423620 6020
136 429640 874
137 430514 1617
138 432131 873
139 433004 3278
140 436282 6393
141 442675 827
142 443502 3417
143 446919 4042
144 450961 1248
145 452209 1082
146 453291 1802
147 455093 1535
148 456628 2496
149 459124 2495
150 461619 1748
151 463367 1379
152 464746 2907
153 467653 2436
154 470089 1568
155 471657 1861
156 473518 1081
157 474599 952
158 475551 3360
159 478911 1958
161 480869 2223
162 483092 1954
163 485046 3111
164 488157 1791
165 489948 3188
168 493136 1105
170 494241 2565
171 496806 1057
172 497863 2269
173 500132 1861
174 501993 1424
175 503417 724
176 504141 1676
177 505817 2533
178 508350 1565
179 509915 2284
180 512199 2384
181 514583 2246
182 516829 1067
183 517896 2514
184 520410 1424
185 521834 4168
186 526002 2106
187 528108 1791
189 529899 4208
190 534107 539
191 534646 831
192 535477 2561
193 538038 4219
194 542257 3551
195 545808 906
197 546714 3511
198 550225 1221
199 551446 2393
200 553839 2646
201 556485 9531
202 566016 7168
203 573184 9128
204 582312 11599
205 593911 15482
206 609393 8924
207 618317 13413
208 631730 12553
209 644283 8168
210 652451 20959
211 673410 12711
212 686121 43170
213 729291 22468
214 751759 21790
215 773549 8607
216 782156 2678
217 784834 2753
218 787587 1925
219 789512 2415
220 791927 7147
221 799074 1555
222 800629 1139
223 801768 1139
231 802907 795
233 803702 8061
234 811763 5533
235 817296 1322
236 818618 2005
237 820623 4746
238 825369 6766
239 832135 8159
240 840294 3903
241 844197 5498
242 849695 1239
243 850934 8818
244 859752 6024
245 865776 2063
246 867839 4442
247 872281 1938
248 874219 9311
249 883530 2400
250 885930 1271
